Date,Open,High,Low,Close,Adj Close,Volume,All Items,realtime_start,realtime_end,value,DEXUSEU
1975-01-06,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,273.4,1.122
1975-01-13,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,273.7,1.122
1975-01-20,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,273.8,1.122
1975-01-27,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,273.7,1.122
1975-02-03,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,275.2,1.122
1975-02-10,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,274.5,1.122
1975-02-17,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,274.6,1.122
1975-02-24,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,274.2,1.122
1975-03-03,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,275.4,1.122
1975-03-10,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,276.9,1.122
1975-03-17,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,1277.06005859375,3943710000.0,0.033,2024-07-18,2024-07-18,276.3,1.122
